,do,da,dz,db,sigma,iter,kappa_coeff,recon_loss,act_mse,obs_mse,noi_mse
57,128,8,16,128,0.0,40000,0.01,5.109340054332279e-05,0.26124659180641174,0.9225025177001953,1.0
58,128,8,16,128,0.0,40000,0.1,3.0905976018402725e-05,0.00018393444770481437,0.9487448930740356,1.0
59,128,8,16,128,0.0,40000,0.5,3.033765278814826e-05,0.000130671207443811,0.9949273467063904,1.0
60,128,8,2,128,0.1,40000,0.0,0.05175543203949928,0.9991551041603088,0.9860920906066895,0.08348825504072009
61,128,8,2,128,0.1,40000,0.01,0.05139844864606857,0.9925370812416077,0.9831650257110596,0.08353522280231117
62,128,8,2,128,0.1,40000,0.1,0.051297906786203384,0.749954104423523,1.0007996559143066,0.08336820756085216
63,128,8,2,128,0.1,40000,0.5,0.05085039883852005,0.7469146251678467,1.000022292137146,0.08347009425051509
64,128,8,3,128,0.1,40000,0.0,0.04328964278101921,0.983041524887085,0.9741183519363403,0.0835615734104067
65,128,8,3,128,0.1,40000,0.01,0.043784815818071365,0.9849153161048889,0.9786592721939087,0.08368380367755889
66,128,8,3,128,0.1,40000,0.1,0.043732259422540665,0.6318316459655762,0.9982847571372986,0.08350303396582602
67,128,8,3,128,0.1,40000,0.5,0.04267750680446625,0.61865234375,0.9996511936187744,0.08355235913768409
68,128,8,4,128,0.1,40000,0.0,0.03579514101147652,0.9828738570213318,0.9708642363548279,0.08343643276020883
69,128,8,4,128,0.1,40000,0.01,0.03522619232535362,0.966636061668396,0.972751259803772,0.08359110797755419
70,128,8,4,128,0.1,40000,0.1,0.0354301892220974,0.504278838634491,1.0006295442581177,0.0835275335703045
71,128,8,4,128,0.1,40000,0.5,0.03491232171654701,0.49792245030403137,1.0006511211395264,0.08349872659891842
72,128,8,5,128,0.1,40000,0.0,0.02738756500184536,0.9771689176559448,0.9619787335395813,0.08369026472792028
73,128,8,5,128,0.1,40000,0.01,0.02761470340192318,0.9395937323570251,0.9661909341812134,0.08373179589398204
74,128,8,5,128,0.1,40000,0.1,0.027658062055706978,0.37910711765289307,0.9970628619194031,0.0835642626043409
75,128,8,5,128,0.1,40000,0.5,0.026888739317655563,0.37359678745269775,0.9998418688774109,0.08357836049981414
76,128,8,6,128,0.1,40000,0.0,0.019396645948290825,0.9747387766838074,0.9567517638206482,0.08391177398152648
