,do,da,dz,db,iter,recon_loss,act_mse,obs_mse,noi_mse
44,128,2,8,1,2000,0.007433829363435507,1.1492527846712619e-05,0.9328120350837708,1.0
45,128,2,8,1,3000,0.0015019667334854603,4.99653924634913e-06,0.9356446862220764,1.0
46,128,2,8,1,4000,6.393042713170871e-05,1.3839357961842325e-06,0.9836362600326538,1.0
47,128,2,8,1,5000,5.7340865168953314e-05,0.0002397086936980486,0.9763296842575073,1.0
48,128,2,9,1,0,1.555525779724121,0.9345282316207886,0.0014204572653397918,1.0
49,128,2,9,1,1000,0.017931388691067696,0.00025766456383280456,0.22476471960544586,1.0
50,128,2,9,1,2000,0.004829445853829384,6.192276941874297e-06,0.9339926838874817,1.0
51,128,2,9,1,3000,0.0005054837674833834,2.465609668433899e-06,0.9557915329933167,1.0
52,128,2,9,1,4000,7.134968655009288e-06,3.8180715478119964e-07,0.9960251450538635,1.0
53,128,2,9,1,5000,2.9705041015404277e-05,9.319125092588365e-05,0.984356164932251,1.0
54,128,2,10,1,0,1.5181411504745483,0.9096322059631348,0.0016857737209647894,1.0
55,128,2,10,1,1000,0.01458789873868227,0.0004901090869680047,0.3042355179786682,1.0
56,128,2,10,1,2000,0.0034353104420006275,3.5261830362287583e-06,0.9382160902023315,1.0
57,128,2,10,1,3000,0.00024616351583972573,1.1758306754927617e-06,0.9656780958175659,1.0
58,128,2,10,1,4000,2.505827524146298e-06,1.862511425088087e-07,0.9981047511100769,1.0
59,128,2,10,1,5000,2.515764754207339e-05,0.00014086024020798504,0.9872350096702576,1.0
60,128,2,11,1,0,1.5402971506118774,0.844864547252655,0.002684085164219141,1.0
61,128,2,11,1,1000,0.014156892895698547,0.0007325310725718737,0.3416688144207001,1.0
