,do,da,dz,db,sigma,iter,mask_ratio,recon_loss,act_mse,obs_mse,noi_mse
48,128,8,14,8,0.5,40000,0.0,0.003070006612688303,0.008866257034242153,1.003360390663147,0.1981555074453354
49,128,8,14,8,0.5,40000,0.01,0.0037600805517286062,0.005534633994102478,1.003758430480957,0.27579811215400696
50,128,8,14,8,0.5,40000,0.05,0.004234654363244772,0.0011647059582173824,0.9883725643157959,0.27188432216644287
51,128,8,14,8,0.5,40000,0.1,0.004297001753002405,0.0003908188082277775,1.0123348236083984,0.2832375466823578
52,128,8,15,8,0.5,40000,0.0,0.0016077762702479959,0.008307144977152348,1.0258896350860596,0.10832667350769043
53,128,8,15,8,0.5,40000,0.01,0.002429592190310359,0.004513041116297245,0.9948052167892456,0.1908607929944992
54,128,8,15,8,0.5,40000,0.05,0.001993913436308503,0.0008963893633335829,1.004738211631775,0.17233270406723022
55,128,8,15,8,0.5,40000,0.1,0.002353974152356386,0.00064194540027529,1.0006096363067627,0.15842153131961823
56,128,8,16,8,0.5,40000,0.0,3.355157241458073e-05,9.439139103051275e-05,1.0028467178344727,0.0004640696570277214
57,128,8,16,8,0.5,40000,0.01,3.438183557591401e-05,0.004148154053837061,0.9950172901153564,0.07641342282295227
58,128,8,16,8,0.5,40000,0.05,6.164568185340613e-05,0.0013176852371543646,0.9913287162780762,0.03188369795680046
59,128,8,16,8,0.5,40000,0.1,2.7829610189655796e-05,0.00032281564199365675,1.0111632347106934,0.021796653047204018
60,128,8,2,8,1.0,40000,0.0,0.10591135919094086,0.9412022233009338,0.999618411064148,0.8513748049736023
61,128,8,2,8,1.0,40000,0.01,0.11283973604440689,0.7182577252388,1.025285243988037,1.055983304977417
62,128,8,2,8,1.0,40000,0.05,0.11106084287166595,0.7140716910362244,1.0044996738433838,1.0333603620529175
63,128,8,2,8,1.0,40000,0.1,0.10924774408340454,0.7287541031837463,1.004103183746338,0.9969386458396912
64,128,8,3,8,1.0,40000,0.0,0.08834325522184372,0.7575951218605042,1.0021990537643433,0.7964499592781067
65,128,8,3,8,1.0,40000,0.01,0.10535934567451477,0.6807963848114014,1.0020555257797241,0.9594516754150391
66,128,8,3,8,1.0,40000,0.05,0.10978548228740692,0.6333995461463928,1.0148571729660034,1.081843376159668
67,128,8,3,8,1.0,40000,0.1,0.10492902249097824,0.6366445422172546,1.0117578506469727,1.0024486780166626
68,128,8,4,8,1.0,40000,0.0,0.08441031724214554,0.7082065343856812,0.9942847490310669,0.8024173378944397
69,128,8,4,8,1.0,40000,0.01,0.10028072446584702,0.5008730292320251,1.0062918663024902,1.0820293426513672
70,128,8,4,8,1.0,40000,0.05,0.09185493737459183,0.4753693640232086,1.0015192031860352,0.9550076127052307
71,128,8,4,8,1.0,40000,0.1,0.09187182784080505,0.5235746502876282,0.9973803162574768,0.9286609292030334
72,128,8,5,8,1.0,40000,0.0,0.07851752638816833,0.703791618347168,1.0201497077941895,0.6991262435913086
73,128,8,5,8,1.0,40000,0.01,0.09094884991645813,0.3648853600025177,0.9896693229675293,1.0563156604766846
74,128,8,5,8,1.0,40000,0.05,0.0925745964050293,0.3457694351673126,1.0015891790390015,1.0749084949493408
75,128,8,5,8,1.0,40000,0.1,0.09016702324151993,0.373315691947937,0.9943385124206543,1.029489278793335
76,128,8,6,8,1.0,40000,0.0,0.06697394698858261,0.6132822036743164,0.9980089664459229,0.6353737711906433
77,128,8,6,8,1.0,40000,0.01,0.08359535038471222,0.253478080034256,0.9798209071159363,1.0569449663162231
78,128,8,6,8,1.0,40000,0.05,0.08155684173107147,0.26038050651550293,0.9938561916351318,1.004833459854126
79,128,8,6,8,1.0,40000,0.1,0.07987413555383682,0.2787783443927765,1.0122966766357422,0.9876034259796143
80,128,8,7,8,1.0,40000,0.0,0.06186913698911667,0.5842690467834473,0.9839492440223694,0.5683135390281677
81,128,8,7,8,1.0,40000,0.01,0.0787743553519249,0.16038906574249268,1.0050095319747925,1.0705235004425049
82,128,8,7,8,1.0,40000,0.05,0.06986135244369507,0.14102597534656525,0.9966257810592651,0.9627553224563599
83,128,8,7,8,1.0,40000,0.1,0.07488173246383667,0.1519109308719635,0.9948845505714417,1.026465892791748
84,128,8,8,8,1.0,40000,0.0,0.05024906247854233,0.5400288105010986,0.9888176918029785,0.48749861121177673
85,128,8,8,8,1.0,40000,0.01,0.0626128762960434,0.00565839558839798,1.0027375221252441,0.9635050296783447
86,128,8,8,8,1.0,40000,0.05,0.057957910001277924,0.0011890989262610674,0.9919153451919556,0.90119868516922
87,128,8,8,8,1.0,40000,0.1,0.06553705036640167,0.0006815250380896032,0.9732720851898193,1.0190845727920532
88,128,8,9,8,1.0,40000,0.0,0.046475090086460114,0.4645853042602539,0.9897791147232056,0.4642929136753082
