,do,da,dz,recon_loss,act_mse,obs_mse
45,128,6,14,6.512089839816326e-06,6.82935011961187e-05,0.9997885823249817
46,128,6,15,1.2690454909147775e-08,1.2941778967009063e-07,0.9998922944068909
47,128,6,16,7.69057896832237e-06,7.248566544149071e-05,0.9998152852058411
48,128,8,1,0.054907992482185364,0.8878376483917236,1.0003092288970947
49,128,8,2,0.04697064310312271,0.7531393766403198,0.9999027252197266
50,128,8,3,0.03896976634860039,0.6235506534576416,0.9997158050537109
51,128,8,4,0.031214287504553795,0.4994450807571411,1.000299096107483
52,128,8,5,0.02350788004696369,0.3761248290538788,1.0003615617752075
53,128,8,6,0.015637720003724098,0.25034794211387634,0.9995073676109314
54,128,8,7,0.00785694271326065,0.12569843232631683,1.00070321559906
55,128,8,8,1.5883093738011667e-06,2.4642447897349484e-05,0.9999163150787354
56,128,8,9,8.1922586048222e-08,1.0525685638640425e-06,1.0007814168930054
57,128,8,10,1.0030266821559053e-05,0.00011995850218227133,1.0001132488250732
58,128,8,11,1.2245819913658806e-09,1.6513256539951726e-08,1.0003598928451538
59,128,8,12,2.2172170766054933e-09,2.5715578999552235e-08,1.0009065866470337
60,128,8,13,3.7428236510095303e-07,3.429274329391774e-06,1.0008444786071777
61,128,8,14,2.539101615184336e-06,2.7090749426861294e-05,1.000630259513855
62,128,8,15,6.42547737239596e-10,7.782190003524647e-09,0.999671220779419
63,128,8,16,5.940472874499392e-06,5.0352893595118076e-05,1.0005666017532349
64,128,10,1,0.07014860957860947,0.8991961479187012,1.0004373788833618
65,128,10,2,0.062448468059301376,0.7994963169097901,1.0006226301193237
66,128,10,3,0.054804541170597076,0.7016217708587646,1.0001980066299438
67,128,10,4,0.04694348946213722,0.6008893966674804,0.9998303651809692
68,128,10,5,0.039104923605918884,0.5005812168121337,0.9999157786369324
69,128,10,6,0.03132317215204239,0.4009721755981445,1.0003188848495483
70,128,10,7,0.02349667437374592,0.30081069469451904,0.9998083710670471
71,128,10,8,0.015636783093214035,0.20016307830810548,1.0005656480789185
72,128,10,9,0.007834343239665031,0.10030688047409057,0.9994031190872192
73,128,10,10,1.467395302490182e-11,1.888407430428174e-10,1.0007320642471313
74,128,10,11,1.395476234566928e-10,1.650178305112604e-09,1.0000451803207397
75,128,10,12,4.559320743169337e-08,4.628197530109901e-07,1.0004401206970215
76,128,10,13,4.722297219927896e-09,3.641791295194707e-08,1.0007128715515137
77,128,10,14,0.00017341398051939905,0.0012946441769599915,0.9973171353340149
78,128,10,15,6.701199890812859e-05,0.0005314934533089399,0.99888014793396
79,128,10,16,0.0001401338231517002,0.0009429806843400002,0.997140645980835
80,128,12,1,0.08607732504606247,0.9184179306030273,1.0005460977554321
81,128,12,2,0.07796724885702133,0.8319683074951172,1.0000919103622437
82,128,12,3,0.0704987496137619,0.7521310647328695,0.9996982216835022
83,128,12,4,0.06260866671800613,0.6678598721822103,1.0005165338516235
84,128,12,5,0.054754212498664856,0.5840763648351034,0.9998534321784973
85,128,12,6,0.046817485243082047,0.4994705120722453,1.0005834102630615
86,128,12,7,0.03914041072130203,0.41756077607472736,1.0004370212554932
87,128,12,8,0.03144042566418648,0.33542442321777344,0.9998654723167419
88,128,12,9,0.023470768705010414,0.25042208035786945,1.0005754232406616
89,128,12,10,0.015745913609862328,0.16801828145980835,1.000014066696167
90,128,12,11,0.00781040545552969,0.08333029349644978,1.000386118888855
91,128,12,12,1.226737458637217e-05,0.00012436478088299432,1.0003339052200317
92,128,12,13,0.00024587108055129647,0.001945068904509147,0.9986768960952759
93,128,12,14,2.4357500905125562e-08,2.3552469959516506e-07,1.000491976737976
94,128,12,15,2.7300829970045015e-05,0.0002337420592084527,1.0007240772247314
95,128,12,16,0.00029269541846588254,0.002319877967238426,0.99751216173172
96,128,14,1,0.10145168006420135,0.9277493613106864,0.9997867345809937
97,128,14,2,0.09388034045696259,0.8584408760070801,0.9993281364440918
98,128,14,3,0.08594650030136108,0.7858880587986538,1.000412940979004
99,128,14,4,0.07805855572223663,0.7137649399893624,1.0005004405975342
100,128,14,5,0.07036877423524857,0.6434214455740792,0.9997236132621765
101,128,14,6,0.06252560764551163,0.5716954639979771,1.0005263090133667
102,128,14,7,0.05478948354721069,0.5010771410805839,0.9997624754905701
103,128,14,8,0.04678237810730934,0.42782388414655415,1.0000035762786865
104,128,14,9,0.039053093641996384,0.35713652202061247,0.9996395111083984
105,128,14,10,0.031282100826501846,0.2860598223549979,1.0004003047943115
106,128,14,11,0.0235011987388134,0.21494294915880477,1.0007668733596802
107,128,14,12,0.015613850206136703,0.14280614682606288,1.0000653266906738
108,128,14,13,0.007891656830906868,0.07212421723774501,1.000231385231018
109,128,14,14,7.930862921057269e-05,0.0006645170838705131,1.0002551078796387
110,128,14,15,2.6409545625938335e-06,2.184550352727196e-05,1.0006035566329956
111,128,14,16,8.321970881297602e-07,6.767683121974447e-06,1.0003831386566162
112,128,16,1,0.11734328418970108,0.9387649893760681,1.000581979751587
113,128,16,2,0.10937843471765518,0.875067412853241,0.9997442960739136
114,128,16,3,0.10162939131259918,0.8131833076477051,1.000020980834961
115,128,16,4,0.09375308454036713,0.7501052618026733,1.000537633895874
116,128,16,5,0.08609360456466675,0.6888396739959717,0.9998026490211487
117,128,16,6,0.07815922051668167,0.6254047155380249,1.0003458261489868
118,128,16,7,0.07014213502407074,0.5612530708312988,1.0003305673599243
119,128,16,8,0.062472373247146606,0.49990198016166687,1.0000931024551392
120,128,16,9,0.05474786087870598,0.43807241320610046,1.000596523284912
121,128,16,10,0.046861935406923294,0.37500616908073425,1.0002033710479736
122,128,16,11,0.039198365062475204,0.31364959478378296,1.0000309944152832
123,128,16,12,0.031245790421962738,0.25010600686073303,1.0000001192092896
124,128,16,13,0.023537421599030495,0.18840086460113525,1.0000728368759155
125,128,16,14,0.01565258391201496,0.12523218989372253,1.0002578496932983
126,128,16,15,0.007792774122208357,0.06231090798974037,1.0002684593200684
127,128,16,16,2.317307189514395e-05,0.00016567486454732716,1.0005607604980469
